已存在	already exists
模型	model
缺少字段	missing fields
失败	failed
缺少	missing
不一致	mismatch
不存在	does not exist
目录	directory
无法定位	Cannot locate
当前	Current
停止	stopped
不唯一	is not unique
无法从	Cannot extract from
无法加载模块	Cannot load module
中找到	found in
模板配置	template configuration
缺少文件	Missing file
中的相关文件	relevant files in
自动定位	Auto-located
共发现	Found
个候选	 candidates
已按	Selected using
和路径关键词选择	 and path keywords
模型配置	model configuration
验证集	Validation
复现失败	reproduction failed
为防止评错模型	To prevent evaluating the wrong model
评价	evaluation
实验	experiment
个	 
的	 
最佳	best
存在重复	Duplicate
中没有	lacks
映射	mapping
必须提供	Must provide
没有找到	Not found
没有在	Not found in
字段	field
中	in
无法解析化学式	Cannot parse molecular formula
锁定	locked
模板	template
存在	exists
分子数错误	Incorrect molecule count
映射不一致	mapping mismatch
应为	expected
条谱无法映射	 spectra cannot be mapped to
和	and
未创建	was not created
缺少必要文件	Missing required files
配置	configuration
不可用	is unavailable
缺少输出	Missing output
检测到	Detected
参与选择	involved in selection
配置审计失败	configuration audit failed
审计失败	audit failed
锁定评估失败	locked evaluation failed
聚合失败	aggregation failed
缺少最终结果	Missing final result
结果审计失败	result audit failed
输出归档失败	output archiving failed
三种子汇总失败	three-seed summary failed
无法进入项目目录	Cannot enter project directory
检测到输出路径逃离	Output path escapes
检测到非预期配置变化	Unexpected configuration change detected
该运行目录已经存在	This run directory already exists
为避免覆盖	To prevent overwriting
本程序拒绝启动	this program will not start
源	source
部分分子没有	Some molecules lack
存在跨	Detected cross-
重叠	 overlap
非空骨架数量过少	Too few nonempty scaffolds
无法获得唯一注释映射	Cannot obtain a unique annotation mapping
歧义记录已写入	Ambiguous records written to
对齐后行数发生变化	Row count changed after alignment
对齐后	After alignment,
后面缺少参数值	requires an argument value
无法加载	Cannot load
输出中取得	output
计时调用数量不一致	Timing call count mismatch
测试集没有产生任何	Test set produced no
除去	After excluding
后没有有效测试谱	no valid test spectra remain
有效计时时间为零	Valid timing duration is zero
没有捕获到测试集效率结果	No test-set efficiency results captured
赋值	assignment
评价调用	evaluation call
返回	return
已创建	Created
匹配已在	matching is disabled in the
版本中关闭	benchmark version
张量	tensor
没有在测试	Not found in test
测试	test
为空	is empty
扰动计划长度不足	Perturbation plan is too short
找到	Found
字段但未能替换	field but could not replace it
运行时	runtime
没有找到锁定	Could not find the locked
候选函数	Candidate functions
逐谱结果为空	Per-spectrum results are empty
结果缺少字段	results lack fields
映射缺少字段	mapping lacks fields
同一个	The same
对应多个	maps to multiple
部分谱图没有	Some spectra have no
未知	Unknown
质量差	mass difference
参考缓存不存在	Reference cache does not exist
候选缓存不存在	Candidate cache does not exist
读取锁定	Read locked
参考缓存	reference cache
参考缓存缺字段	Reference cache missing fields
参考缓存数组维度异常	Unexpected reference-cache array dimensions
参考缓存数组形状异常	Unexpected reference-cache array shape
同一行出现重复	Duplicate entries in the same row
已读取	Read
参考	reference
列数不一致	column count mismatch
参考缓存中没有	Reference cache lacks
掩码概率不固定	mask probability is not fixed
固定	Fix
缓存列数	cache column count
对锁定缓存执行	Run on the locked cache:
规则回放校验	rule-replay validation
规则回放未达到	Rule replay did not reach
不会改动实验	will not modify experiment
缓存	cache
行	 rows
个唯一化学式全部一致	 unique formulas all match
增强实验	Enrich experiment
候选缓存	candidate cache
已处理	Processed
增强后完整缓存数异常	Unexpected number of complete caches after enrichment
审计文件	Audit file
或非数值	or nonnumeric
存在严重越界	is severely out of range
基线输入缺少字段	Baseline input missing fields
基线	baseline
组不闭合	 groups are incomplete
谱数错误	Incorrect spectrum count
行数不一致	row-count mismatch
集合不一致	set mismatch
存在未覆盖	Missing coverage for
个种子的谱图	-seed spectra
种子平均后谱数错误	Incorrect spectrum count after averaging seeds
种子平均后分子数错误	Incorrect molecule count after averaging seeds
分子集合不一致	Molecule-set mismatch
每分子谱数不一致	Per-molecule spectrum counts differ
逐谱集合不一致	Per-spectrum sets differ
分子顺序错误	Molecule order mismatch
结果行数不闭合	Result row count is incomplete
找不到逐谱测试结果	Per-spectrum test results not found
找到多个候选逐谱文件	Found multiple candidate per-spectrum files
谱数	spectrum count
分子数	molecule count
尚未通过全部协议检查	has not passed all protocol checks
请查看上面的	See the above
汇总三个随机种子的	Summarize across three random seeds:
分层	stratified
结果	results
例如	For example
实验目录不存在	Experiment directory does not exist
分层结果	stratified results
在不同	across different
测试谱数错误	Incorrect test-spectrum count
字段不一致	field mismatch
有	has
结构检查失败	architecture check failed
唯一架构变化为	The only architecture change is
配置顶层不是字典	Top-level configuration is not a dictionary
无法进入	Cannot enter
旧输出已备份	Previous outputs backed up to
缺少模板	Missing template
没有检测到	Not detected:
环境检查失败	Environment preflight failed
主线超参数读取失败	Failed to read mainline hyperparameters
存在非预期	contains unexpected
非有限值	is non-finite
兼容性检查失败	compatibility check failed
只重新运行	rerun only
不覆盖	do not overwrite
错误覆盖了已有	incorrectly overwrote existing
均已存在	both already exist
表缺少字段	table missing fields
表没有有效结果	table has no valid results
无法提取	Cannot extract
无效	invalid
总和无效	invalid sum
提取	extract
表缺少	table missing
读取	read
缺少必要输入	Missing required inputs
缺少必要功能	Missing required features
输出目录已存在	Output directory already exists
需要重跑时增加	Add when rerunning:
没有找到任何	No matching
时必须提供	must be provided when using
运行时配置生成不完整	Runtime configuration generation is incomplete
